Name,Rating,Reviews Count,Phone,Address,Website,Category,Latitude,Longitude,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Status
,,,,,,,,,,,,,,,,failed
Happy Market,,43,,"Alberweg 2, 6800 Feldkirch, Austria",,Grocery store,47.237534,9.5768348,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 19:00,08:00 - 18:00,10:00 - 12:00,success
Coop Supermarkt City Zürich St. Annahof Food,,42,,"Bahnhofstrasse 57, 8001 Zürich",https://www.coop.ch/de/standorte/coop-supermarkt-city-zuerich-st-annahof-food/1914_POS,Supermarket,47.372955,8.5378441,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,Closed,success
Denner,,42,,,https://www.denner.ch/,,47.1724125,8.1890595,,,,,,,,success
