Name,Rating,Reviews Count,Phone,Address,Website,Category,Latitude,Longitude,Monday Hours,Tuesday Hours,Wednesday Hours,Thursday Hours,Friday Hours,Saturday Hours,Sunday Hours,Status
Migros,,43,+41 43 233 62 62,,https://www.zentrum-wallisellen.ch/,,10799.440111084255,8.596051699999999,,,,,,,,success
Coop Supermarkt City Zürich St. Annahof Food,,47,,,,,2702.0608950281826,8.538555999999998,,,,,,,,success
Coop Supermarkt Zürich Bärengasse,,42,+41 44 204 36 90,,https://www.coop.ch/de/standorte/coop-supermarkt-zuerich-airport-shopping/5726_POS,,347054.9548822561,8.062296749999998,,,,,,,,success
Apple Glattzentrum,,44,+41 44 832 81 00,"Einkaufszentrum Glatt, Neue Winterthurerstrasse 99, 8304 Wallisellen",https://www.apple.com/chde/retail/glattzentrum?cid=aos-ch-seo-maps,Electronics store,2700.20283233935,8.596042299999999,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,09:00 - 20:00,Closed,success
ZKB Filiale Winterthur-Untertor,,50,+41 84 484 38 23,"Untertor 30, 8401 Winterthur",https://www.zkb.ch/de/standorte/winterthur-untertor.html,Bank,2695.5193350985282,8.7248664,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,09:00 - 18:00,10:00 - 15:00,Closed,success
Happy Market,,45,+436 64 197 10 80,,https://feinschmid.com/,,173810.93606797664,9.57727375,,,,,,,,success
Denner Discount,,43,,"Werdstrasse 36, 8004 Zürich",https://www.denner.ch/,Discount supermarket,2702.0033727522164,8.529626100000002,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,08:00 - 20:00,Closed,success
